Date,WIL5000,WIL5000:BofA_AAA,WIL5000:BofA_BBB,WIL5000:BofA_CCC,WIL5000:Gold
2016-01-21,0.9999999999968452,-0.5906235161368043,0.5512111221548058,0.6365569984351286,0.3188470468686853
2016-01-22,0.9999999999971285,-0.6056852800445899,0.5655738849234767,0.6448985097653849,0.3187101450337333
2016-01-25,0.9999999999970405,-0.6184219289911171,0.5854342622013339,0.65530451945991,0.3182139874012186
2016-01-26,0.9999999999971946,-0.6294374433353629,0.5963850712966154,0.6626263871900275,0.3152873740879055
2016-01-27,0.9999999999974828,-0.636478254452951,0.6096644942462756,0.6715763673928862,0.311657886112272
2016-01-28,0.9999999999976599,-0.6417446852096798,0.6211029628643465,0.6799941068169564,0.30958360429128673
2016-01-29,0.9999999999977097,-0.646948111909974,0.6285434248636965,0.6849027093581715,0.3080885609097058
2016-02-01,0.9999999999978012,-0.6525897964270085,0.6340090018187606,0.6881661358074675,0.3016874712426669
2016-02-02,0.9999999999980952,-0.6589862721057059,0.6394257982092479,0.6938019820312077,0.2937855027585303
2016-02-03,0.9999999999978402,-0.6641850066297462,0.6456431510622346,0.6990934947363533,0.2856556506877132
2016-02-04,0.9999999999980378,-0.6691994781458812,0.6506934515870371,0.7038999206786122,0.27090384267533796
2016-02-05,0.9999999999981791,-0.6760536388827033,0.6549731833907729,0.7091693166181032,0.2510521001608241
2016-02-08,0.9999999999981654,-0.6899523610719408,0.656512228268614,0.7158480307124768,0.21277101803383064
2016-02-09,0.9999999999981094,-0.7003476256427286,0.6589822311903829,0.7222156110346993,0.17402251436343455
2016-02-10,0.9999999999984365,-0.709643192660392,0.6608030996081705,0.7281718423525907,0.13758954459690373
2016-02-11,0.9999999999983367,-0.7200593387463715,0.6631884549561013,0.7352293873583534,0.08010112154145067
2016-02-12,0.999999999998402,-0.7272616346957778,0.6691278977916049,0.7402173888944579,0.03275056761832682
2016-02-16,0.9999999999985502,-0.7314939628850371,0.6731016417212358,0.743330090618857,0.0007774460691105932
2016-02-17,0.9999999999986486,-0.7354633942799104,0.6782209650744766,0.7451812661164047,-0.021906934116737057
2016-02-18,0.9999999999985555,-0.7410470009272142,0.6812873976787349,0.7466216590016941,-0.04696538866457888
2016-02-19,0.9999999999984437,-0.7459554603739199,0.6842778063518093,0.7479671929301002,-0.07463523464228751
2016-02-22,0.9999999999984499,-0.7492480755798666,0.6885734580025054,0.7479730378429906,-0.09494053476473518
2016-02-23,0.9999999999984114,-0.7514330080106381,0.6898548585111823,0.7491250071693063,-0.1208348463537019
2016-02-24,0.9999999999983747,-0.7516909199982161,0.690174022292971,0.7495596424352282,-0.14711069844080896
2016-02-25,0.9999999999984134,-0.7482286659160804,0.689701241373682,0.7483682934465029,-0.16816280771811876
2016-02-26,0.9999999999984625,-0.7469335384275245,0.6895853064249079,0.7480428894115617,-0.18413252465302904
2016-02-29,0.999999999998373,-0.7462414137729049,0.6895323326201142,0.7484200351640706,-0.2003371935233155
2016-03-01,0.999999999998334,-0.7439255289665929,0.6888000383764146,0.7470128364016028,-0.21028955206780953
2016-03-02,0.9999999999984329,-0.7406048046664107,0.6886350896077633,0.7451394395041652,-0.21902360681035704
2016-03-03,0.9999999999983213,-0.7341795472796195,0.6909835194325298,0.7417495344617572,-0.229553490279832
2016-03-04,0.999999999998197,-0.7274432995742964,0.6898643987447216,0.7380675552055043,-0.23629485583930046
2016-03-07,0.9999999999981481,-0.7200803515487951,0.6885814432749845,0.7348755826416428,-0.2420634247990114
2016-03-08,0.999999999998189,-0.7141277745439624,0.6847454311789897,0.7334438038319194,-0.25121763113587425
2016-03-09,0.9999999999981665,-0.7079866818628032,0.6815657765144832,0.7309898185068358,-0.2594034320503451
2016-03-10,0.9999999999981232,-0.7021045072012635,0.677708953011818,0.7284957713193992,-0.2675892177302201
2016-03-11,0.9999999999980649,-0.6914743907178137,0.6763111566347618,0.7238159725528845,-0.2761937367829344
2016-03-14,0.9999999999981833,-0.680533162261294,0.6710668443448319,0.7196739600139563,-0.28575458748950383
2016-03-15,0.9999999999980086,-0.6684925257345843,0.6669399037588631,0.7152566374320409,-0.2947292662918233
2016-03-16,0.9999999999980164,-0.6543435792377679,0.6654986187587156,0.7100234924644675,-0.3010778975820514
2016-03-17,0.9999999999981992,-0.6379626530576493,0.6602634667420112,0.7048643965657164,-0.299954763920524
2016-03-18,0.9999999999980017,-0.6185782275551435,0.6540566609058706,0.6999723203562511,-0.29820564277609496
2016-03-21,0.9999999999980601,-0.6013806561991796,0.6535449182926353,0.6953003937250397,-0.29665978328421994
2016-03-22,0.9999999999978546,-0.5872411451119055,0.647323217489737,0.6931844205878603,-0.2922459230176544
2016-03-23,0.9999999999978648,-0.5727551001636488,0.6342602479593794,0.6912444554058216,-0.2928215309839471
2016-03-24,0.9999999999977368,-0.5591341357714406,0.6259600507322444,0.6883415048308952,-0.29356676707000984
